time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-31T17:59:46.000Z,19.4103333,-155.2856667,0.57,5.3,mw,36,23,0.007439,0.12,hv,hv70503837,2022-05-03T19:25:07.031Z,"6 km WSW of Volcano, Hawaii",volcanic eruption,0.16,0.11,,9,reviewed,hv,hv
2018-08-02T21:55:12.060Z,19.4111667,-155.2831667,0.55,5.3,mw,34,27,0.006521,0.1,hv,hv70513677,2022-05-03T19:25:25.243Z,"6 km SW of Volcano, Hawaii",volcanic eruption,0.14,0.11,,22,reviewed,hv,hv
2018-07-11T15:45:53.220Z,19.3993333,-155.2886667,-0.5,5.3,mw,33,38,0.01056,0.19,hv,hv70398031,2022-05-03T19:21:58.827Z,"7 km SW of Volcano, Hawaii",volcanic eruption,0.12,0.16,,6,reviewed,hv,hv
2018-07-13T00:42:27.110Z,19.3993333,-155.2766667,0.27,5.3,mw,36,39,0.004869,0.11,hv,hv70414347,2022-05-03T19:21:59.939Z,"6 km SW of Volcano, Hawaii",volcanic eruption,0.11,0.09,,33,reviewed,hv,hv
2018-07-14T05:08:03.680Z,19.3995,-155.2768333,-0.21,5.3,mw,23,45,0.005095,0.15,hv,hv70419872,2022-05-03T19:22:15.749Z,"6 km SW of Volcano, Hawaii",volcanic eruption,0.12,0.13,,17,reviewed,hv,hv
2018-07-15T13:26:05.130Z,19.4036667,-155.2901667,1.35,5.3,mw,20,46,0.009741,0.15,hv,hv70426597,2022-05-03T19:22:29.028Z,"7 km SW of Volcano, Hawaii",volcanic eruption,0.24,0.25,,16,reviewed,hv,hv
2018-07-16T21:42:35.500Z,19.3995,-155.2775,0.24,5.3,mw,31,39,0.005491,0.1,hv,hv70432927,2022-05-03T19:22:38.499Z,"6 km SW of Volcano, Hawaii",volcanic eruption,0.12,0.12,,22,reviewed,hv,hv
2018-07-18T11:28:04.040Z,19.3961667,-155.2748333,0.37,5.3,mw,38,41,0.001376,0.13,hv,hv70440367,2018-11-07T21:56:20.950Z,"6 km SW of Volcano, Hawaii",volcanic eruption,0.15,0.11,,79,reviewed,hv,hv
2018-07-20T02:33:01.690Z,19.4103333,-155.2816667,0.85,5.3,mw,33,27,0.007643,0.11,hv,hv70448162,2022-05-03T19:23:07.292Z,"6 km SW of Volcano, Hawaii",volcanic eruption,0.11,0.08,,47,reviewed,hv,hv
2018-07-21T19:43:28.660Z,19.4018333,-155.288,0.07,5.3,mw,37,34,0.01229,0.12,hv,hv70456682,2022-05-03T19:23:59.760Z,"7 km SW of Volcano, Hawaii",volcanic eruption,0.12,0.15,,21,reviewed,hv,hv
